,pretty_formula,final_structure,icsd_ids,spacegroup
873,Dy(IO3)3,"Full Formula (Dy4 I12 O36)
Reduced Formula: Dy(IO3)3
abc   :   8.609888   7.208989  13.552043
angles:  79.696503  90.000000  90.000000
Sites (52)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Dy    0.254222  0.171844  0.353736         0
  1  Dy    0.745778  0.828156  0.646264         0
  2  Dy    0.754222  0.828156  0.146264         0
  3  Dy    0.245778  0.171844  0.853736         0
  4  I     0.043162  0.667137  0.356156         0
  5  I     0.456838  0.667137  0.856156         0
  6  I     0.543162  0.332863  0.143844         0
  7  I     0.794024  0.164924  0.390414         0
  8  I     0.294024  0.835076  0.109586         0
  9  I     0.979616  0.733152  0.890137         0
 10  I     0.956838  0.332863  0.643844         0
 11  I     0.479616  0.266848  0.609863         0
 12  I     0.520384  0.733152  0.390137         0
 13  I     0.020384  0.266848  0.109863         0
 14  I     0.205976  0.835076  0.609586         0
 15  I     0.705976  0.164924  0.890414         0
 16  O     0.026113  0.842303  0.681319        -0
 17  O     0.420281  0.321544  0.479065        -0
 18  O     0.208274  0.226369  0.176419        -0
 19  O     0.309075  0.851973  0.822673        -0
 20  O     0.529966  0.019335  0.613008        -0
 21  O     0.466398  0.33834   0.269537        -0
 22  O     0.708274  0.773631  0.323581        -0
 23  O     0.791726  0.773631  0.823581        -0
 24  O     0.029966  0.980665  0.886992        -0
 25  O     0.173947  0.468551  0.361283        -0
 26  O     0.966398  0.66166   0.230463        -0
 27  O     0.168255  0.035325  0.509147        -0
 28  O     0.291726  0.226369  0.676419        -0
 29  O     0.690925  0.148027  0.177327        -0
 30  O     0.526113  0.157697  0.818681        -0
 31  O     0.579719  0.678456  0.520935        -0
 32  O     0.079719  0.321544  0.979065        -0
 33  O     0.326053  0.468551  0.861283        -0
 34  O     0.331745  0.035325  0.009147        -0
 35  O     0.333534  0.637612  0.045363        -0
 36  O     0.533602  0.66166   0.730463        -0
 37  O     0.668255  0.964675  0.990853        -0
 38  O     0.826053  0.531449  0.638717        -0
 39  O     0.166466  0.637612  0.545363        -0
 40  O     0.666466  0.362388  0.954637        -0
 41  O     0.970034  0.019335  0.113008        -0
 42  O     0.973887  0.157697  0.318681        -0
 43  O     0.473887  0.842303  0.181319        -0
 44  O     0.673947  0.531449  0.138717        -0
 45  O     0.190925  0.851973  0.322673        -0
 46  O     0.470034  0.980665  0.386992        -0
 47  O     0.833534  0.362388  0.454637        -0
 48  O     0.831745  0.964675  0.490853        -0
 49  O     0.809075  0.148027  0.677327        -0
 50  O     0.033602  0.33834   0.769537        -0
 51  O     0.920281  0.678456  0.020935        -0",[417478],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P2_1/c', 'number': 14, 'point_group': '2/m', 'crystal_system': 'monoclinic', 'hall': '-P 2ybc'}"
874,Dy(IO3)3,"Full Formula (Dy4 I12 O36)
Reduced Formula: Dy(IO3)3
abc   :   6.130142   8.807725  16.740774
angles:  65.240488  90.000000  90.000000
Sites (52)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Dy    0.286624  0.147318  0.395373         0
  1  Dy    0.213376  0.147318  0.895373         0
  2  Dy    0.786624  0.852682  0.104627         0
  3  Dy    0.713376  0.852682  0.604627         0
  4  I     0.311961  0.072838  0.141864         0
  5  I     0.594274  0.418259  0.197867         0
  6  I     0.094274  0.581741  0.302133         0
  7  I     0.188039  0.072838  0.641864         0
  8  I     0.64442   0.354593  0.480109         0
  9  I     0.811961  0.927162  0.358136         0
 10  I     0.85558   0.354593  0.980109         0
 11  I     0.405726  0.581741  0.802133         0
 12  I     0.35558   0.645407  0.519891         0
 13  I     0.14442   0.645407  0.019891         0
 14  I     0.905726  0.418259  0.697867         0
 15  I     0.688039  0.927162  0.858136         0
 16  O     0.027689  0.390566  0.883363        -0
 17  O     0.875779  0.125606  0.014732        -0
 18  O     0.553972  0.940327  0.186873        -0
 19  O     0.177189  0.344361  0.744491        -0
 20  O     0.928532  0.646238  0.941138        -0
 21  O     0.488867  0.362504  0.865701        -0
 22  O     0.571468  0.646238  0.441138        -0
 23  O     0.39459   0.904321  0.670034        -0
 24  O     0.677189  0.655639  0.755509        -0
 25  O     0.322811  0.344361  0.244491        -0
 26  O     0.071468  0.353762  0.058862        -0
 27  O     0.583109  0.340144  0.111886        -0
 28  O     0.871716  0.884796  0.472106        -0
 29  O     0.011133  0.362504  0.365701        -0
 30  O     0.624221  0.125606  0.514732        -0
 31  O     0.628284  0.884796  0.972106        -0
 32  O     0.511133  0.637496  0.134299        -0
 33  O     0.128284  0.115204  0.527894        -0
 34  O     0.053972  0.059673  0.313127        -0
 35  O     0.10541   0.904321  0.170034        -0
 36  O     0.124221  0.874394  0.985268        -0
 37  O     0.083109  0.659856  0.388114        -0
 38  O     0.375779  0.874394  0.485268        -0
 39  O     0.416891  0.659856  0.888114        -0
 40  O     0.428532  0.353762  0.558862        -0
 41  O     0.527689  0.609434  0.616637        -0
 42  O     0.89459   0.095679  0.829966        -0
 43  O     0.916891  0.340144  0.611886        -0
 44  O     0.60541   0.095679  0.329966        -0
 45  O     0.822811  0.655639  0.255509        -0
 46  O     0.446028  0.059673  0.813127        -0
 47  O     0.972311  0.609434  0.116637        -0
 48  O     0.371716  0.115204  0.027894        -0
 49  O     0.946028  0.940327  0.686873        -0
 50  O     0.988867  0.637496  0.634299        -0
 51  O     0.472311  0.390566  0.383363        -0",[417485],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P2_1/c', 'number': 14, 'point_group': '2/m', 'crystal_system': 'monoclinic', 'hall': '-P 2ybc'}"
875,Gd(IO3)3,"Full Formula (Gd4 I12 O36)
Reduced Formula: Gd(IO3)3
abc   :   8.661065   7.286517  13.638086
angles:  79.659031  90.000000  90.000000
Sites (52)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Gd    0.754707  0.826731  0.645392     6.926
  1  Gd    0.254707  0.173269  0.854608     6.926
  2  Gd    0.745293  0.826731  0.145392     6.926
  3  Gd    0.245293  0.173269  0.354608     6.926
  4  I     0.979758  0.733377  0.390465     0.002
  5  I     0.793783  0.167773  0.889613     0.001
  6  I     0.293783  0.832227  0.610387     0.001
  7  I     0.043555  0.668057  0.856893     0.002
  8  I     0.520242  0.733377  0.890465     0.002
  9  I     0.479758  0.266623  0.109535     0.002
 10  I     0.206217  0.832227  0.110387     0.001
 11  I     0.706217  0.167773  0.389613     0.001
 12  I     0.456445  0.668057  0.356893     0.002
 13  I     0.956445  0.331943  0.143107     0.002
 14  I     0.020242  0.266623  0.609535     0.002
 15  I     0.543555  0.331943  0.643107     0.002
 16  O     0.531965  0.661461  0.231953     0.001
 17  O     0.310995  0.852274  0.323434     0
 18  O     0.669061  0.96726   0.488284     0.002
 19  O     0.165732  0.639188  0.045278     0.001
 20  O     0.971997  0.161521  0.817718    -0
 21  O     0.027781  0.979184  0.38646      0.002
 22  O     0.207211  0.231094  0.675164     0
 23  O     0.792789  0.768906  0.324836     0
 24  O     0.577946  0.678931  0.020768     0
 25  O     0.830939  0.96726   0.988284     0.002
 26  O     0.472219  0.979184  0.88646      0.002
 27  O     0.330939  0.03274   0.511716     0.002
 28  O     0.031965  0.338539  0.268047     0.001
 29  O     0.972219  0.020816  0.61354      0.002
 30  O     0.825692  0.528152  0.136985     0.001
 31  O     0.922054  0.678931  0.520768     0
 32  O     0.468035  0.338539  0.768047     0.001
 33  O     0.834268  0.360812  0.954722     0.001
 34  O     0.707211  0.768906  0.824836     0
 35  O     0.810995  0.147726  0.176566     0
 36  O     0.169061  0.03274   0.011716     0.002
 37  O     0.527781  0.020816  0.11354      0.002
 38  O     0.174308  0.471848  0.863015     0.001
 39  O     0.674308  0.528152  0.636985     0.001
 40  O     0.325692  0.471848  0.363015     0.001
 41  O     0.665732  0.360812  0.454722     0.001
 42  O     0.689005  0.147726  0.676566     0
 43  O     0.334268  0.639188  0.545278     0.001
 44  O     0.968035  0.661461  0.731953     0.001
 45  O     0.528003  0.161521  0.317718    -0
 46  O     0.422054  0.321069  0.979232     0
 47  O     0.189005  0.852274  0.823434     0
 48  O     0.077946  0.321069  0.479232     0
 49  O     0.028003  0.838479  0.182282    -0
 50  O     0.471997  0.838479  0.682282    -0
 51  O     0.292789  0.231094  0.175164     0",[200380],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P2_1/c', 'number': 14, 'point_group': '2/m', 'crystal_system': 'monoclinic', 'hall': '-P 2ybc'}"
876,Ga(IO3)3,"Full Formula (Ga2 I6 O18)
Reduced Formula: Ga(IO3)3
abc   :   9.240056   9.240056   5.406350
angles:  90.000000  90.000000 119.999999
Sites (26)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ga    0.666667  0.333333  0.395071        -0
  1  Ga    0.333333  0.666667  0.895071        -0
  2  I     0.684601  0.662162  0.753382        -0
  3  I     0.315399  0.337838  0.253382         0
  4  I     0.022438  0.684601  0.253382        -0
  5  I     0.337838  0.022438  0.753382         0
  6  I     0.662162  0.977562  0.253382         0
  7  I     0.977562  0.315399  0.753382        -0
  8  O     0.830106  0.778741  0.510132        -0
  9  O     0.574952  0.44917   0.604234         0
 10  O     0.874218  0.425048  0.604234         0
 11  O     0.778741  0.948635  0.010132        -0
 12  O     0.221259  0.051365  0.510132        -0
 13  O     0.051365  0.830106  0.010132        -0
 14  O     0.714991  0.192611  0.165638        -0
 15  O     0.55083   0.125782  0.604234         0
 16  O     0.47762   0.285009  0.165638        -0
 17  O     0.948635  0.169894  0.510132        -0
 18  O     0.425048  0.55083   0.104234         0
 19  O     0.125782  0.574952  0.104234         0
 20  O     0.285009  0.807389  0.665638        -0
 21  O     0.52238   0.714991  0.665638        -0
 22  O     0.44917   0.874218  0.104234         0
 23  O     0.807389  0.52238   0.165638        -0
 24  O     0.169894  0.221259  0.010132        -0
 25  O     0.192611  0.47762   0.665638        -0",[171008],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P6_3', 'number': 173, 'point_group': '6', 'crystal_system': 'hexagonal', 'hall': 'P 6c'}"
877,La(IO3)3,"Full Formula (La6 I18 O54)
Reduced Formula: La(IO3)3
abc   :   7.291668   7.291668  28.197454
angles:  80.169817  80.169817  59.168478
Sites (78)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  La    0.374002  0.156117  0.406559         0
  1  La    0.207062  0.939343  0.126823         0
  2  La    0.939343  0.207062  0.626823         0
  3  La    0.790143  0.862554  0.264778        -0
  4  La    0.156117  0.374002  0.906559        -0
  5  La    0.862554  0.790143  0.764778        -0
  6  I     0.857842  0.636697  0.150708         0
  7  I     0.636697  0.857842  0.650708         0
  8  I     0.168833  0.466894  0.522568        -0
  9  I     0.413007  0.473979  0.290779        -0
 10  I     0.473979  0.413007  0.790779        -0
 11  I     0.907707  0.010223  0.879355        -0
 12  I     0.533582  0.766571  0.52797         -0
 13  I     0.276493  0.57349   0.650384        -0
 14  I     0.552268  0.727509  0.87738         -0
 15  I     0.893441  0.101774  0.499778         0
 16  I     0.132729  0.162283  0.74124          0
 17  I     0.57349   0.276493  0.150384        -0
 18  I     0.010223  0.907707  0.379355        -0
 19  I     0.466894  0.168833  0.022568        -0
 20  I     0.101774  0.893441  0.999778         0
 21  I     0.162283  0.132729  0.24124          0
 22  I     0.766571  0.533582  0.02797         -0
 23  I     0.727509  0.552268  0.37738         -0
 24  O     0.240609  0.206065  0.068641        -0
 25  O     0.210612  0.240425  0.678331        -0
 26  O     0.59385   0.231653  0.216318         0
 27  O     0.766979  0.161005  0.398601         0
 28  O     0.576237  0.809634  0.461075         0
 29  O     0.894573  0.857701  0.164374        -0
 30  O     0.189149  0.510825  0.81174          0
 31  O     0.03463   0.843355  0.473147        -0
 32  O     0.758067  0.510662  0.313735         0
 33  O     0.555669  0.358282  0.64726          0
 34  O     0.988107  0.966357  0.313233        -0
 35  O     0.338081  0.542805  0.354146         0
 36  O     0.314395  0.550546  0.551838         0
 37  O     0.744517  0.484448  0.538504         0
 38  O     0.916272  0.424035  0.758391        -0
 39  O     0.3747    0.34173   0.471982         0
 40  O     0.313391  0.811438  0.630922        -0
 41  O     0.103798  0.172053  0.47805          0
 42  O     0.073296  0.970035  0.218801        -0
 43  O     0.161005  0.766979  0.898601         0
 44  O     0.005241  0.434747  0.388987         0
 45  O     0.830131  0.684907  0.861784         0
 46  O     0.510825  0.189149  0.31174          0
 47  O     0.424035  0.916272  0.258391        -0
 48  O     0.812369  0.5804    0.637364         0
 49  O     0.016712  0.951463  0.062752        -0
 50  O     0.554457  0.819072  0.715097         0
 51  O     0.172053  0.103798  0.97805          0
 52  O     0.206065  0.240609  0.568641        -0
 53  O     0.358282  0.555669  0.14726          0
 54  O     0.154257  0.538636  0.273266         0
 55  O     0.510662  0.758067  0.813735         0
 56  O     0.231653  0.59385   0.716318         0
 57  O     0.223605  0.969308  0.379035         0
 58  O     0.819072  0.554457  0.215097         0
 59  O     0.484448  0.744517  0.038504         0
 60  O     0.34173   0.3747    0.971982         0
 61  O     0.88994   0.671061  0.046216         0
 62  O     0.969308  0.223605  0.879035         0
 63  O     0.970035  0.073296  0.718801        -0
 64  O     0.951463  0.016712  0.562752        -0
 65  O     0.811438  0.313391  0.130922        -0
 66  O     0.240425  0.210612  0.178331         0
 67  O     0.434747  0.005241  0.888987         0
 68  O     0.843355  0.03463   0.973147        -0
 69  O     0.542805  0.338081  0.854146         0
 70  O     0.966357  0.988107  0.813233        -0
 71  O     0.684907  0.830131  0.361784         0
 72  O     0.857701  0.894573  0.664374         0
 73  O     0.809634  0.576237  0.961075         0
 74  O     0.538636  0.154257  0.773266        -0
 75  O     0.671061  0.88994   0.546216         0
 76  O     0.550546  0.314395  0.051838         0
 77  O     0.5804    0.812369  0.137364         0","[173502, 171250]","{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Cc', 'number': 9, 'point_group': 'm', 'crystal_system': 'monoclinic', 'hall': 'C -2yc'}"
878,Tl4CrI6,"Full Formula (Tl8 Cr2 I12)
Reduced Formula: Tl4CrI6
abc   :   9.329671   9.329671   9.941904
angles:  90.000000  90.000000  90.000000
Sites (22)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Tl    0.351287  0.148713  0.25         0.003
  1  Tl    0.148713  0.648713  0.75         0.003
  2  Tl    0.648713  0.851287  0.75         0.003
  3  Tl    0.851287  0.351287  0.75         0.003
  4  Tl    0.351287  0.148713  0.75         0.003
  5  Tl    0.148713  0.648713  0.25         0.003
  6  Tl    0.851287  0.351287  0.25         0.003
  7  Tl    0.648713  0.851287  0.25         0.003
  8  Cr    0.5       0.5       0            3.658
  9  Cr    0         0         0.5          3.658
 10  I     0.293589  0.864329  0.5         -0.006
 11  I     0.793589  0.635671  0           -0.007
 12  I     0.635671  0.206411  0           -0.005
 13  I     0.135671  0.293589  0.5         -0.006
 14  I     0         0         0.224117    -0.033
 15  I     0.5       0.5       0.275883    -0.033
 16  I     0.364329  0.793589  0           -0.005
 17  I     0         0         0.775883    -0.033
 18  I     0.206411  0.364329  0           -0.007
 19  I     0.5       0.5       0.724117    -0.033
 20  I     0.864329  0.706411  0.5         -0.006
 21  I     0.706411  0.135671  0.5         -0.006",[38143],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P4/mnc', 'number': 128, 'point_group': '4/mmm', 'crystal_system': 'tetragonal', 'hall': '-P 4 2n'}"
879,HfIN,"Full Formula (Hf2 I2 N2)
Reduced Formula: HfIN
abc   :  12.234174  12.234174  12.234174
angles:  17.442307  17.442307  17.442308
Sites (6)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Hf    0.798382  0.798382  0.798382        -0
  1  Hf    0.201618  0.201618  0.201618        -0
  2  I     0.404107  0.404107  0.404107        -0
  3  I     0.595893  0.595893  0.595893        -0
  4  N     0.142556  0.142556  0.142556         0
  5  N     0.857444  0.857444  0.857444         0","[190384, 51774]","{'symprec': 0.1, 'source': 'spglib', 'symbol': 'R-3m', 'number': 166, 'point_group': '-3m', 'crystal_system': 'trigonal', 'hall': '-R 3 2""'}"
880,CuP4I,"Full Formula (Cu12 P48 I12)
Reduced Formula: CuP4I
abc   :  13.957393   9.841236  13.168779
angles:  70.896676  90.000000  90.000000
Sites (72)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Cu    0.040432  0.790791  0.848086         0
  1  Cu    0.10763   0.005744  0.076439         0
  2  Cu    0.317403  0.904401  0.938738         0
  3  Cu    0.763684  0.795083  0.709938         0
  4  Cu    0.540432  0.209209  0.151914         0
  5  Cu    0.817403  0.095599  0.061262         0
  6  Cu    0.213716  0.789022  0.512312        -0
  7  Cu    0.489721  0.793583  0.642266        -0
  8  Cu    0.989721  0.206417  0.357734        -0
  9  Cu    0.60763   0.994256  0.923561         0
 10  Cu    0.263684  0.204917  0.290062         0
 11  Cu    0.713716  0.210978  0.487688        -0
 12  P     0.118991  0.589323  0.558237         0
 13  P     0.393562  0.308374  0.511928         0
 14  P     0.060174  0.385858  0.902542         0
 15  P     0.197164  0.385437  0.652181         0
 16  P     0.730045  0.450469  0.662516         0
 17  P     0.798234  0.675884  0.031421         0
 18  P     0.344697  0.467047  0.590305         0
 19  P     0.135085  0.590726  0.898384         0
 20  P     0.9945    0.307741  0.174764        -0
 21  P     0.522856  0.456303  0.859979         0
 22  P     0.912376  0.466729  0.923518        -0
 23  P     0.171431  0.563944  0.068367        -0
 24  P     0.4945    0.692259  0.825236        -0
 25  P     0.281378  0.546402  0.850677        -0
 26  P     0.363237  0.695277  0.922251        -0
 27  P     0.719353  0.667008  0.881616         0
 28  P     0.473428  0.458633  0.369961         0
 29  P     0.807698  0.349619  0.553757         0
 30  P     0.219353  0.332992  0.118384         0
 31  P     0.230045  0.549531  0.337484         0
 32  P     0.091917  0.233464  0.070465         0
 33  P     0.863237  0.304723  0.077749        -0
 34  P     0.037709  0.330038  0.467663         0
 35  P     0.560174  0.614142  0.097458         0
 36  P     0.844697  0.532953  0.409695         0
 37  P     0.591917  0.766536  0.929535         0
 38  P     0.412376  0.533271  0.076482        -0
 39  P     0.167073  0.231403  0.560003         0
 40  P     0.973428  0.541367  0.630039         0
 41  P     0.455829  0.681026  0.379578         0
 42  P     0.581672  0.43592   0.598102         0
 43  P     0.307698  0.650381  0.446243         0
 44  P     0.947142  0.648745  0.981072        -0
 45  P     0.022856  0.543697  0.140021         0
 46  P     0.618991  0.410677  0.441763         0
 47  P     0.955829  0.318974  0.620422         0
 48  P     0.671431  0.436056  0.931633        -0
 49  P     0.635085  0.409274  0.101616         0
 50  P     0.537709  0.669962  0.532337         0
 51  P     0.447142  0.351255  0.018928        -0
 52  P     0.260329  0.314348  0.417702         0
 53  P     0.298234  0.324116  0.968579         0
 54  P     0.760329  0.685652  0.582298         0
 55  P     0.081672  0.56408   0.401898         0
 56  P     0.781378  0.453598  0.149323        -0
 57  P     0.667073  0.768597  0.439997         0
 58  P     0.893562  0.691626  0.488072         0
 59  P     0.697164  0.614563  0.347819         0
 60  I     0.941286  0.896783  0.675099        -0
 61  I     0.814715  0.103896  0.369721         0
 62  I     0.281954  0.901768  0.137733        -0
 63  I     0.138727  0.003014  0.871915        -0
 64  I     0.441286  0.103217  0.324901        -0
 65  I     0.638727  0.996986  0.128085        -0
 66  I     0.441321  0.110647  0.846909         0
 67  I     0.941321  0.889353  0.153091         0
 68  I     0.314715  0.896104  0.630279         0
 69  I     0.62653   0.997391  0.633095         0
 70  I     0.781954  0.098232  0.862267        -0
 71  I     0.12653   0.002609  0.366905         0",[401755],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P2_1', 'number': 4, 'point_group': '2', 'crystal_system': 'monoclinic', 'hall': 'P 2yb'}"
881,Ho7FeI12,"Full Formula (Ho7 Fe1 I12)
Reduced Formula: Ho7FeI12
abc   :   9.745734   9.745734   9.745734
angles: 107.032025 107.032025 107.032026
Sites (20)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ho    0.786058  0.521112  0.590364     0.126
  1  Ho    0.409636  0.213942  0.478888     0.126
  2  Ho    0.478888  0.409636  0.213942     0.126
  3  Ho    0.590364  0.786058  0.521112     0.126
  4  Ho    0         0         0           -0.008
  5  Ho    0.521112  0.590364  0.786058     0.126
  6  Ho    0.213942  0.478888  0.409636     0.126
  7  Fe    0.5       0.5       0.5         -0.116
  8  I     0.661119  0.961618  0.884887     0.005
  9  I     0.724482  0.179502  0.571319     0.005
 10  I     0.884887  0.661119  0.961618     0.005
 11  I     0.275518  0.820498  0.428681     0.005
 12  I     0.179502  0.571319  0.724482     0.005
 13  I     0.038382  0.115113  0.338881     0.005
 14  I     0.571319  0.724482  0.179502     0.005
 15  I     0.115113  0.338881  0.038382     0.005
 16  I     0.820498  0.428681  0.275518     0.005
 17  I     0.428681  0.275518  0.820498     0.005
 18  I     0.961618  0.884887  0.661119     0.005
 19  I     0.338881  0.038382  0.115113     0.005",[260155],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'R-3', 'number': 148, 'point_group': '-3', 'crystal_system': 'trigonal', 'hall': '-R 3'}"
882,Cs2HgI4,"Full Formula (Cs4 Hg2 I8)
Reduced Formula: Cs2HgI4
abc   :   8.657157   8.121005  11.394094
angles:  68.468226  90.000000  90.000000
Sites (14)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Cs    0.744454  0.785941  0.907336        -0
  1  Cs    0.238554  0.660807  0.533688        -0
  2  Cs    0.244454  0.214059  0.092664        -0
  3  Cs    0.738554  0.339193  0.466312        -0
  4  Hg    0.739726  0.907159  0.273282         0
  5  Hg    0.239726  0.092841  0.726718         0
  6  I     0.505666  0.2496    0.789825        -0
  7  I     0.74375   0.279114  0.145996        -0
  8  I     0.248614  0.18739   0.455801        -0
  9  I     0.977235  0.258961  0.783394        -0
 10  I     0.24375   0.720886  0.854004        -0
 11  I     0.005666  0.7504    0.210175        -0
 12  I     0.748614  0.81261   0.544199        -0
 13  I     0.477235  0.741039  0.216606        -0","[195509, 9361]","{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P2_1', 'number': 4, 'point_group': '2', 'crystal_system': 'monoclinic', 'hall': 'P 2yb'}"
883,Tb2Co2I,"Full Formula (Tb4 Co4 I2)
Reduced Formula: Tb2Co2I
abc   :   3.952731   3.952731  17.044244
angles:  90.000000  90.000000 119.999981
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Tb    0         0         0.103538     0.016
  1  Tb    0         0         0.603538     0.016
  2  Tb    0         0         0.396462     0.016
  3  Tb    0         0         0.896462     0.016
  4  Co    0.666667  0.333333  0.998449     0.126
  5  Co    0.333333  0.666667  0.001551     0.126
  6  Co    0.666667  0.333333  0.501551     0.127
  7  Co    0.333333  0.666667  0.498449     0.127
  8  I     0.666667  0.333333  0.25        -0
  9  I     0.333333  0.666667  0.75        -0",[418080],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P6_3/mmc', 'number': 194, 'point_group': '6/mmm', 'crystal_system': 'hexagonal', 'hall': '-P 6c 2c'}"
884,Y7FeI12,"Full Formula (Y7 Fe1 I12)
Reduced Formula: Y7FeI12
abc   :   9.724514   9.724514   9.724514
angles: 107.012718 107.012718 107.012715
Sites (20)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Y     0.709637  0.978064  0.908398     0.093
  1  Y     0.978064  0.908398  0.709637     0.092
  2  Y     0.5       0.5       0.5         -0.016
  3  Y     0.091602  0.290363  0.021936     0.092
  4  Y     0.290363  0.021936  0.091602     0.093
  5  Y     0.908398  0.709637  0.978064     0.092
  6  Y     0.021936  0.091602  0.290363     0.092
  7  Fe    0         0         0           -0.171
  8  I     0.072703  0.227681  0.678198     0.004
  9  I     0.386581  0.159176  0.464275     0.004
 10  I     0.613419  0.840824  0.535725     0.004
 11  I     0.227681  0.678198  0.072703     0.004
 12  I     0.772319  0.321802  0.927297     0.004
 13  I     0.678198  0.072703  0.227681     0.003
 14  I     0.535725  0.613419  0.840824     0.005
 15  I     0.840824  0.535725  0.613419     0.004
 16  I     0.927297  0.772319  0.321802     0.004
 17  I     0.321802  0.927297  0.772319     0.003
 18  I     0.464275  0.386581  0.159176     0.005
 19  I     0.159176  0.464275  0.386581     0.004","[63304, 424469]","{'symprec': 0.1, 'source': 'spglib', 'symbol': 'R-3', 'number': 148, 'point_group': '-3', 'crystal_system': 'trigonal', 'hall': '-R 3'}"
885,CsTiI3,"Full Formula (Cs2 Ti2 I6)
Reduced Formula: CsTiI3
abc   :   8.343147   8.343147   6.995669
angles:  90.000000  90.000000 120.000004
Sites (10)
  #  SP           a         b     c    magmom
---  ----  --------  --------  ----  --------
  0  Cs    0.666667  0.333333  0.25    -0.001
  1  Cs    0.333333  0.666667  0.75    -0.001
  2  Ti    0         0         0       -1.623
  3  Ti    0         0         0.5     -1.626
  4  I     0.841452  0.158548  0.75     0.015
  5  I     0.682904  0.841452  0.25     0.022
  6  I     0.158548  0.841452  0.25     0.015
  7  I     0.317096  0.158548  0.75     0.022
  8  I     0.841452  0.682904  0.75     0.016
  9  I     0.158548  0.317096  0.25     0.016",[154258],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P6_3/mmc', 'number': 194, 'point_group': '6/mmm', 'crystal_system': 'hexagonal', 'hall': '-P 6c 2c'}"
886,Pr2Co2I,"Full Formula (Pr4 Co4 I2)
Reduced Formula: Pr2Co2I
abc   :   4.027152   4.027152  17.835664
angles:  90.000000  90.000000 120.000001
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Pr    0         0         0.105159    -0.01
  1  Pr    0         0         0.394841     0.008
  2  Pr    0         0         0.894841    -0.01
  3  Pr    0         0         0.605159     0.008
  4  Co    0.333333  0.666667  0.000955     0.065
  5  Co    0.666667  0.333333  0.999045     0.065
  6  Co    0.333333  0.666667  0.499045    -0.068
  7  Co    0.666667  0.333333  0.500955    -0.068
  8  I     0.333333  0.666667  0.75         0
  9  I     0.666667  0.333333  0.25         0",[416273],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P6_3/mmc', 'number': 194, 'point_group': '6/mmm', 'crystal_system': 'hexagonal', 'hall': '-P 6c 2c'}"
887,Gd2Fe2I,"Full Formula (Gd4 Fe4 I2)
Reduced Formula: Gd2Fe2I
abc   :   3.977810   3.977810  17.345301
angles:  90.000000  90.000000 120.000007
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Gd    0         0         0.394224     6.861
  1  Gd    0         0         0.105776     6.861
  2  Gd    0         0         0.605776     6.861
  3  Gd    0         0         0.894224     6.861
  4  Fe    0.666667  0.333333  0.994425     0.863
  5  Fe    0.333333  0.666667  0.494425     0.863
  6  Fe    0.666667  0.333333  0.505575     0.863
  7  Fe    0.333333  0.666667  0.005575     0.863
  8  I     0.666667  0.333333  0.25        -0.018
  9  I     0.333333  0.666667  0.75        -0.018",[73157],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P6_3/mmc', 'number': 194, 'point_group': '6/mmm', 'crystal_system': 'hexagonal', 'hall': '-P 6c 2c'}"
